,fullName,position,origin,destination
1531,Ty Banco,IOL,Texas A&M,Pittsburgh
1536,Simeon Price,RB,Coastal Carolina,Colorado
1538,Davon Mitchell,TE,Oklahoma,Louisville
1546,Phillip Lee,EDGE,Troy,Arkansas
1547,Chasen Johnson,CB,UCF,USC
1553,KC Concepcion,WR,NC State,Texas A&M
1557,Jaedon Wilson,WR,Arkansas,UCLA
1558,Ty Washington,TE,Arkansas,Notre Dame
1559,K.D. Arnold,OT,Jacksonville State,UCLA
1561,Jack Powers,IOL,Cornell,Missouri
1563,Eric Fletcher,CB,East Carolina,Oklahoma State
1566,Trever Jackson,QB,Florida State,Arkansas
1578,Rodrick Pleasant,CB,Oregon,UCLA
1584,Dasan McCullough,LB,Oklahoma,Nebraska
1590,Mohamed Toure,LB,Rutgers,Miami
1599,Bobby Golden,WR,Akron,Louisville
1602,Horatio Fields,WR,Wake Forest,Auburn
1607,Savion Riley,S,Colorado,Georgia Tech
1613,Kasen Carpenter,IOL,Tulsa,Oklahoma State
1616,Derek Simmons,OT,Western Carolina,Oklahoma
1618,Justyn Rhett,S,Georgia,Nebraska
1621,Tommy Matheson,IOL,Princeton,Boston College
1624,Cazeem Moore,EDGE,Elon,Virginia
1625,Caden Kitler,IOL,UCF,Arkansas
1627,Marcos Davila,QB,Purdue,Nebraska
1632,Keeshawn Silver,DL,Kentucky,USC
1636,Jason Brooks Jr.,IOL,Oklahoma State,Houston
1639,Jalen Brown,WR,Florida State,Arkansas
1641,Zack Owens,IOL,Colorado,Mississippi State
1642,Dylan Rizk,QB,UCF,Stanford
1644,Jaylen Moson,CB,Furman,Utah
1652,Horace Lockett,DL,Georgia Tech,UCF
1655,Micah Riley,TE,Auburn,Texas A&M
1659,Taran Tyo,OT,Ball State,Cincinnati
1660,Joe Crocker,OT,Louisville,Baylor
1665,Carson Kent,TE,Kennesaw State,Oklahoma
1667,Zachariah Branch,WR,USC,Georgia
1669,Bangally Kamara,LB,South Carolina,Kansas
1675,Eli Stein,LS,Wisconsin,Cincinnati
1678,Brent Helton,IOL,Iowa State,Arizona State
1688,Da'Shawn Womack,EDGE,LSU,Ole Miss
1693,Clev Lubin,EDGE,Coastal Carolina,Louisville
1699,Trebor Pena,WR,Syracuse,Penn State
1701,Jordan McCants,WR,Jacksonville State,West Virginia
1703,Conner Weigman,QB,Texas A&M,Houston
1704,Cole Wisniewski,S,North Dakota State,Texas Tech
1708,Amir Johnson,OT,Merrimack,Boston College
1710,Brandon Rawls,LB,Saginaw Valley State,Oklahoma State
